cod_pessoa|data_coleta|genero|data_nascimento|animal_estimacao|clima|bebida_favorita|hobbies
10141807|2020-05-06|Feminino|1968-01-06|gato|moderado|Vinho|Aprender algo novo
10141808|2020-05-06|Feminino|1964-08-20|cachorro|frio|Cerveja|Escutar música
10141932|2020-05-06|Feminino|1959-05-30|cachorro|frio|Água|Praticar esporte
10142312|2020-05-06|Masculino|1952-04-19|gato|quente|Chá|Praticar esporte
10142322|2020-05-06|Masculino|1982-05-30|gato|frio|Cerveja|Ler livros
10142535|2020-05-06|Masculino|1995-11-05|gato|moderado|Cerveja|Ler livros
10142710|2020-05-06|Masculino|1968-06-26|tartaruga|frio|Água|Praticar esporte
10142883|2020-05-06|Masculino|1955-04-20|gato|moderado|Cerveja|Ler livros
10143193|2020-05-06|Masculino|1982-01-04|tartaruga|frio|refrigerante|Dormir
10143315|2020-05-06|Feminino|1966-10-12|tartaruga|frio|Chá|Pintar quadros
10143377|2020-05-06|Masculino|1995-07-29|cachorro|frio|Café|Pintar quadros
