cod_pessoa|data_coleta|genero|data_nascimento|animal_estimacao|clima|bebida_favorita|hobbies
10141669|2020-06-24|Feminino|1964-03-22|gato|frio|Chá|Praticar esporte
10141960|2020-06-24|Feminino|1976-08-09|gato|frio|refrigerante|Escrever
10142182|2020-06-24|Masculino|1978-07-19|tartaruga|quente|Café|Assistir TV
10142248|2020-06-24|Masculino|1954-02-05|cachorro|quente|refrigerante|Pintar quadros
10142880|2020-06-24|Masculino|1979-03-06|gato|moderado|Cerveja|Escutar música
10142949|2020-06-24|Masculino|1983-04-18|peixe|moderado|Café|Escrever
10143243|2020-06-24|Masculino|1998-01-22|gato|frio|Café|Escrever
10143332|2020-06-24|Feminino|1984-12-26|gato|frio|refrigerante|Praticar esporte
10143540|2020-06-24|Masculino|1977-06-15|peixe|moderado|Água|Assistir TV
10143576|2020-06-24|Masculino|1994-01-12|tartaruga|frio|Vinho|Ler livros
